net,length_um
net169,1.81785mm
net167,1.78333mm
net170,1.74451mm
net171,1.74317mm
dmem_din\[5\],1.59217mm
net1148,1.59164mm
net1147,1.58398mm
net72,1.56149mm
dmem_din\[22\],1.53461mm
dmem_din\[7\],1.50167mm
net73,1.49908mm
dmem_din\[16\],1.48183mm
dmem_din\[27\],1.48159mm
net70,1.467mm
net71,1.46065mm
dmem_din\[1\],1.45699mm
net1146,1.44925mm
net921,1.44762mm
dmem_din\[14\],1.44027mm
dmem_din\[12\],1.41321mm
dmem_din\[20\],1.40989mm
net948,1.389135mm
dmem_din\[9\],1.37919mm
net1258,1.36425mm
net261,1.362325mm
dmem_din\[17\],1.35321mm
dmem_din\[19\],1.34856mm
dmem_din\[8\],1.34002mm
dmem_din\[18\],1.33965mm
dmem_din\[13\],1.31719mm
dmem_din\[11\],1.31188mm
dmem_din\[15\],1.30629mm
dmem_din\[10\],1.29623mm
net260,1.28678mm
net1255,1.28389mm
_00189_,1.26444mm
net1256,1.26236mm
_00188_,1.26038mm
dmem_din\[26\],1.25352mm
dmem_din\[29\],1.2417mm
dmem_din\[31\],1.23259mm
dmem_din\[23\],1.21233mm
net1252,1.20947mm
net1251,1.20139mm
dmem_din\[25\],1.18243mm
dmem_din\[24\],1.16861mm
dmem_din\[28\],1.15523mm
net263,1.15458mm
dmem_din\[30\],1.14189mm
dmem_din\[21\],1.14184mm
net894,1.13894mm
net262,1.12864mm
net924,1.07254mm
net918,1.06926mm
net930,1.05582mm
net1149,1.04994mm
net936,1.0414mm
net939,1.020275mm
dmem_wmask\[3\],1.01947mm
dmem_wmask\[1\],1.01731mm
dmem_wmask\[2\],1.00857mm
dmem_wmask\[0\],1.00281mm
net942,984.48µm
net951,983.415µm
net957,979.88µm
net945,978.92µm
net954,977.56µm
net960,964.32µm
net963,948.26µm
net1059,938.58µm
net873,916.52µm
net1023,880.87µm
net927,862.32µm
dmem_dout\[7\],861.43µm
net876,850.38µm
net888,842.58µm
clk,839.91µm
net699,839.71µm
net885,838.98µm
net882,838.66µm
net915,830.92µm
net531,828.28µm
net54,826.01µm
net1072,824.69µm
net484,814.35µm
net534,806.33µm
net909,800.6µm
net346,798.93µm
net444,798.93µm
net702,798.5µm
net891,794.4µm
net966,792.32µm
clknet_5_8__leaf_clk,787.53µm
net933,785.755µm
net912,783.44µm
net706,783.39µm
net900,779.44µm
net360,776.12µm
_03577_,774.445µm
_01839_,774.42µm
net488,771.78µm
net440,769.63µm
net906,768.86µm
_03563_,766.31µm
net517,760.795µm
net463,759.76µm
net698,757.09µm
net897,752.42µm
net365,748.75µm
net127,745.34µm
net903,744.72µm
net459,744.32µm
net500,743.21µm
net495,742.05µm
net452,731.24µm
net986,726.1µm
net516,721.595µm
net387,717.82µm
net379,714.18µm
net369,710.12µm
net361,709.97µm
net704,709.87µm
net358,708.72µm
net496,706.75µm
net464,706.36µm
net537,703.38µm
net461,702.82µm
net450,702.05µm
net130,701.82µm
net478,700.54µm
net535,697.7µm
net476,697.12µm
net435,692.47µm
net424,691.57µm
net125,684.66µm
net439,681.26µm
net466,680.75µm
net530,673.12µm
net474,672.97µm
net472,672.86µm
net371,671.97µm
net126,671.42µm
net128,668.95µm
net685,663.32µm
net448,662.06µm
net690,659.63µm
net502,656.36µm
net403,656.185µm
net377,656.08µm
net374,655.5µm
net2,648.4µm
net46,647.73µm
net433,646.55µm
net498,642.62µm
net454,638.44µm
net515,637.82µm
net399,636.99µm
net490,636.66µm
net519,636.38µm
net3,631.7µm
net486,630.96µm
net426,630.6µm
clknet_5_24__leaf_clk,626.09µm
net131,622.71µm
net120,620.9µm
net1,619.83µm
net397,619µm
net123,618.79µm
net529,618.73µm
cpu_core.hazard_inst.if_id_rs1\[1\],618.06µm
net367,617.81µm
net457,617.52µm
net428,616.54µm
net206,611.72µm
net692,611.57µm
net385,610.46µm
_04883_,610.09µm
net524,605.265µm
net4,605.02µm
net1071,604.9µm
net389,604.21µm
net45,602.3µm
net344,600.37µm
net432,599.42µm
_03592_,593.8µm
net694,593.73µm
net375,592.57µm
net695,591.56µm
net124,588.16µm
net50,588.04µm
net363,588.035µm
net5,586.5µm
net763,586.27µm
net343,584.93µm
net469,582.57µm
net968,582.41µm
net446,581.04µm
net700,579.455µm
net442,578.86µm
_04896_,577.19µm
net48,575.09µm
net511,573.59µm
_04876_,572.2µm
net390,569.32µm
net382,566.93µm
net395,566.88µm
net6,566.64µm
net122,565.14µm
net985,564µm
net684,563.54µm
net401,558.55µm
net493,550.54µm
net1095,550.22µm
net7,547.42µm
net689,545.46µm
net44,544.36µm
net697,542.56µm
_04897_,540.7µm
clknet_5_26__leaf_clk,539.98µm
net512,539.76µm
net430,537.8µm
net967,536.72µm
net460,535.99µm
net436,534.83µm
_04859_,532.41µm
_04856_,532.01µm
net357,531.235µm
net386,531.06µm
net110,531µm
net41,529.04µm
net514,527.88µm
net8,527.8µm
net482,526.56µm
_04892_,525.1µm
net47,523.705µm
net394,523.09µm
net492,522.08µm
net1145,521.73µm
net1119,521.47µm
net391,518.75µm
net687,516.91µm
net480,516.8µm
net42,514.12µm
net51,510.475µm
net481,508.76µm
net456,507.58µm
net383,507.54µm
_04891_,505.73µm
_04865_,505.45µm
net204,505.24µm
net117,504.95µm
net470,502.79µm
_04872_,502.5µm
net521,501.64µm
_04889_,501.37µm
net162,500.28µm
net393,500.2µm
net761,499.94µm
net373,499.66µm
net381,498.72µm
net447,498.12µm
_04882_,496.72µm
net744,496.46µm
net116,493.22µm
net91,492.59µm
net703,492.21µm
net522,492.05µm
net92,490.49µm
net115,489.4µm
net347,486.15µm
net1197,484.72µm
net90,483.79µm
net119,483.02µm
_04890_,481.15µm
net427,480.9µm
net95,480.16µm
net168,480.12µm
net443,477.33µm
net745,476.12µm
net520,476.08µm
net69,475.83µm
net376,475.11µm
_04155_,472.83µm
net88,472.8µm
_04898_,472µm
cpu_core.hazard_inst.if_id_rs1\[0\],471.65µm
net65,469.3µm
net532,468.89µm
net137,466.88µm
net68,466.64µm
net98,465.62µm
net437,465.58µm
net701,465.39µm
net60,464.18µm
net78,464.05µm
net468,462.58µm
net388,462.51µm
net525,462.42µm
net99,461.72µm
_04161_,461.55µm
net518,459.18µm
net59,457.1µm
_04868_,456.87µm
net455,451.81µm
clknet_0_clk,449.11µm
net96,448.61µm
net523,445.8µm
net56,445.48µm
net113,445.27µm
net879,445.02µm
net691,443.64µm
net1058,443.64µm
net9,441.75µm
net510,441.02µm
net1022,440.88µm
net43,438.12µm
net528,436.47µm
net458,436.32µm
net66,434.4µm
net49,434.19µm
net1168,432.77µm
net688,432.29µm
net677,431.94µm
net1061,431.6µm
net121,430.365µm
net62,429.4µm
_04887_,428.47µm
net372,425.43µm
net686,425.315µm
net94,424.89µm
net487,424.56µm
clknet_2_0_0_clk,423.53µm
net462,421.4µm
net368,421.24µm
net753,420.91µm
net1069,419.16µm
net602,418.38µm
net491,417.69µm
net53,416.1µm
net58,415.12µm
net20,414.93µm
net63,414.24µm
net742,412.9µm
net359,412.28µm
net111,411.92µm
_01907_,411.88µm
net114,410.98µm
net1066,410.585µm
clknet_5_17__leaf_clk,410.38µm
net696,410.19µm
net762,409.18µm
net378,408.72µm
net720,407.42µm
_04156_,406.92µm
net527,406.66µm
net108,404.06µm
net473,403.98µm
net57,403.26µm
net67,401.76µm
net1092,400.37µm
net738,400.02µm
net1091,398.66µm
clknet_2_2_0_clk,397.36µm
net746,396.29µm
net1040,394.52µm
net109,394.2µm
net743,393.86µm
net31,393.69µm
net61,393.63µm
net64,391.92µm
net52,391.15µm
net236,390.58µm
net705,390.525µm
_01915_,389.36µm
net392,388.1µm
net1004,387.34µm
clknet_5_6__leaf_clk,385.78µm
net1085,384.4µm
net1070,384.38µm
net398,380.96µm
net112,379.98µm
_04147_,379.18µm
_04888_,375.38µm
net1093,374.94µm
net34,374.67µm
net104,374.415µm
net1236,373.9µm
net139,372.75µm
cpu_core.hazard_inst.if_id_rs1\[4\],370.825µm
net370,369.54µm
net1067,369.36µm
net1084,369.34µm
net513,369.15µm
_04878_,368.5µm
clknet_5_0__leaf_clk,367.84µm
net494,366.355µm
net396,365.86µm
net693,365.34µm
clknet_5_7__leaf_clk,365.33µm
net752,363.54µm
net143,362.03µm
net748,361.88µm
net1094,360.3µm
net415,358.7µm
_04871_,358.12µm
net970,357.94µm
_02737_,357.86µm
net533,357.34µm
net467,357.08µm
net976,356.98µm
_04877_,356.57µm
clknet_2_3_0_clk,356.3µm
net465,355.16µm
net980,354.66µm
net501,353.44µm
net146,353.24µm
net1090,352.85µm
net35,352.57µm
net438,351.28µm
