Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_2361,VPWR,li1,1092.2700,786.0800,1.799996
FILLER_285_2353,VPWR,li1,1089.7400,786.0800,1.799996
FILLER_285_2349,VPWR,li1,1086.7500,786.0800,1.799996
FILLER_285_2337,VPWR,li1,1083.3000,786.0800,1.799996
FILLER_285_2325,VPWR,li1,1077.7800,786.0800,1.799996
FILLER_285_2323,VPWR,li1,1074.3300,786.0800,1.799996
FILLER_285_2319,VPWR,li1,1073.1800,786.0800,1.799996
FILLER_285_2307,VPWR,li1,1069.5000,786.0800,1.799996
FILLER_285_2303,VPWR,li1,1065.1300,786.0800,1.799996
FILLER_285_2297,VPWR,li1,1063.5200,786.0800,1.799996
FILLER_285_2293,VPWR,li1,1060.9900,786.0800,1.799996
FILLER_285_2287,VPWR,li1,1058.2300,786.0800,1.799996
FILLER_285_2279,VPWR,li1,1055.7000,786.0800,1.799996
FILLER_285_2275,VPWR,li1,1052.2500,786.0800,1.799996
FILLER_285_2269,VPWR,li1,1050.6400,786.0800,1.799996
FILLER_285_2265,VPWR,li1,1048.1100,786.0800,1.799996
FILLER_285_2259,VPWR,li1,1045.3500,786.0800,1.799996
FILLER_285_2251,VPWR,li1,1042.8200,786.0800,1.799996
FILLER_285_2247,VPWR,li1,1039.3700,786.0800,1.799996
FILLER_285_2241,VPWR,li1,1037.7600,786.0800,1.799996
FILLER_285_2237,VPWR,li1,1035.2300,786.0800,1.799996
FILLER_285_2231,VPWR,li1,1032.4700,786.0800,1.799996
FILLER_285_2223,VPWR,li1,1029.9400,786.0800,1.799996
FILLER_285_2219,VPWR,li1,1026.4900,786.0800,1.799996
FILLER_285_2213,VPWR,li1,1024.8800,786.0800,1.799996
FILLER_285_2209,VPWR,li1,1022.3500,786.0800,1.799996
FILLER_285_2203,VPWR,li1,1019.5900,786.0800,1.799996
FILLER_285_2195,VPWR,li1,1017.0600,786.0800,1.799996
FILLER_285_2191,VPWR,li1,1013.6100,786.0800,1.799996
FILLER_285_2185,VPWR,li1,1012.0000,786.0800,1.799996
FILLER_285_2181,VPWR,li1,1009.4700,786.0800,1.799996
FILLER_285_2175,VPWR,li1,1006.7100,786.0800,1.799996
FILLER_285_2167,VPWR,li1,1004.1800,786.0800,1.799996
FILLER_285_2163,VPWR,li1,1000.7300,786.0800,1.799996
FILLER_285_2157,VPWR,li1,999.1200,786.0800,1.799996
FILLER_285_2153,VPWR,li1,996.5900,786.0800,1.799996
FILLER_285_2147,VPWR,li1,993.8300,786.0800,1.799996
FILLER_285_2139,VPWR,li1,991.3000,786.0800,1.799996
FILLER_285_2135,VPWR,li1,987.8500,786.0800,1.799996
FILLER_285_2129,VPWR,li1,986.2400,786.0800,1.799996
FILLER_285_2125,VPWR,li1,983.7100,786.0800,1.799996
FILLER_285_2119,VPWR,li1,980.9500,786.0800,1.799996
FILLER_285_2111,VPWR,li1,978.4200,786.0800,1.799996
FILLER_285_2107,VPWR,li1,974.9700,786.0800,1.799996
FILLER_285_2101,VPWR,li1,973.3600,786.0800,1.799996
FILLER_285_2097,VPWR,li1,970.8300,786.0800,1.799996
FILLER_285_2091,VPWR,li1,968.0700,786.0800,1.799996
FILLER_285_2083,VPWR,li1,965.5400,786.0800,1.799996
FILLER_285_2079,VPWR,li1,962.0900,786.0800,1.799996
FILLER_285_2073,VPWR,li1,960.4800,786.0800,1.799996
FILLER_285_2069,VPWR,li1,957.9500,786.0800,1.799996
FILLER_285_2063,VPWR,li1,955.1900,786.0800,1.799996
FILLER_285_2055,VPWR,li1,952.6600,786.0800,1.799996
FILLER_285_2051,VPWR,li1,949.2100,786.0800,1.799996
FILLER_285_2045,VPWR,li1,947.6000,786.0800,1.799996
FILLER_285_2041,VPWR,li1,945.0700,786.0800,1.799996
FILLER_285_2035,VPWR,li1,942.3100,786.0800,1.799996
FILLER_285_2027,VPWR,li1,939.7800,786.0800,1.799995
FILLER_285_2023,VPWR,li1,936.3300,786.0800,1.799994
FILLER_285_2017,VPWR,li1,934.7200,786.0800,1.799993
FILLER_285_2013,VPWR,li1,932.1900,786.0800,1.799992
FILLER_285_2007,VPWR,li1,929.4300,786.0800,1.799991
FILLER_285_1999,VPWR,li1,926.9000,786.0800,1.799990
FILLER_285_1995,VPWR,li1,923.4500,786.0800,1.799988
FILLER_285_1989,VPWR,li1,921.8400,786.0800,1.799988
FILLER_285_1985,VPWR,li1,919.3100,786.0800,1.799987
FILLER_285_1979,VPWR,li1,916.5500,786.0800,1.799986
FILLER_285_1971,VPWR,li1,914.0200,786.0800,1.799985
FILLER_285_1967,VPWR,li1,910.5700,786.0800,1.799984
FILLER_285_1961,VPWR,li1,908.9600,786.0800,1.799983
FILLER_285_1957,VPWR,li1,906.4300,786.0800,1.799982
FILLER_285_1951,VPWR,li1,903.6700,786.0800,1.799981
FILLER_285_1943,VPWR,li1,901.1400,786.0800,1.799981
FILLER_285_1938,VPWR,li1,897.4600,786.0800,1.799979
FILLER_285_1933,VPWR,li1,895.3900,786.0800,1.799978
FILLER_285_1929,VPWR,li1,893.5500,786.0800,1.799978
FILLER_285_1923,VPWR,li1,890.7900,786.0800,1.799977
FILLER_285_1915,VPWR,li1,888.2600,786.0800,1.799976
FILLER_285_1911,VPWR,li1,884.8100,786.0800,1.799974
FILLER_285_1905,VPWR,li1,883.2000,786.0800,1.799973
